achtgesichterambiwasse_0483|er lag auf der Altane eines Hauses, das er gut kannte, aber in dem er lange nicht gewesen war;
achtgesichterambiwasse_1786|Die Mutter erzählte den Traum ihrer Tochter, und Mondköpfchen glaubte begeistert an die Weissagung. Und Mondköpfchens Mann, der immer noch lachte,
achtgesichterambiwasse_0058|kein Stern, kein Mond, kein Licht auf dem See. Hanakes Fenster schienen in einen Abgrund zu schauen,
meisterfloh_2637|dem nimmermehr zu trauen. Es fiel ihm schwer aufs Herz, daß damals, als Dörtje gerade so gesprochen, wie sie gedacht,
achtgesichterambiwasse_0501|legte ihre Wange an Kiris Ohr und ihre Hand auf sein Herz. Da wurde es still draußen um die Tempel,
serapionsbruederauswahl_0438|der in seiner zu großen Strenge immer mit mir zürnt, daß ich mich der Gesellschaft fremder Leute zu sehr hingebe.‹
achtgesichterambiwasse_0391|hatte hundertmal gefallen, hatte hunderttausendmal lachen müssen, ohne lachen zu wollen,
serapionsbruederauswahl_1381|es winkt.‹ – Und wie willenlos, unverwandten starren Blickes, greift nun Adelgunde hinter sich,
serapionsbruederauswahl_0332|ich rief mit starker Stimme: ›Graf P**, erwachen Sie aus dem verderblichen Traum, der Sie bestrickt,
meisterfloh_1669|daß die Papiere auch nicht ein Wort enthielten, welches Bezug auf ein Verbrechen haben könne, wie es Peregrinus der Anklage
meisterfloh_0787|fuhr ein elektrischer Strahl dem Georg bis ins Herz hinein, und er erwachte aus seiner Betäubung. In
serapionsbruederauswahl_1284|daß sie in einem Moment weinte um den armen Cousin, der in der Schlacht geblieben und, die bittern Tränen noch in den Augen,
serapionsbruederauswahl_1148|Er fühlte sich beinahe übermannt von einer unbeschreiblichen Angst,
serapionsbruederauswahl_0592|das Bild, das ihm im Innern aufgegangen, recht zu erfassen mit allen seinen Gestalten, Farben, Lichtern und Schatten und dann,
meisterfloh_0309|das der Blick der Klapperschlange festgezaubert. – »Lassen Sie,« sprach jetzt die Dame,
serapionsbruederauswahl_1668|nichts in der Welt konnte die Gräfin vermögen, auch nur einen Tropfen Medizin zu nehmen.
achtgesichterambiwasse_0616|und sein nächstes Leben ist das eines gemeinen Mannes aus dem Volke. Doch das Schicksal gewährt dem Entehrten noch eine Gunst,
meisterfloh_1634|Ruft nur die verführerische Kleine bei ihrem rechten Namen und fragt sie dann aus, wie Ihr nur Lust habt.«
serapionsbruederauswahl_0971|und sogleich begann der Alte beim Kruge Aehl weitläuftig über die erste Arbeit der Knappen zu sprechen.
serapionsbruederauswahl_1404|Gebe der Himmel, daß die unwahrscheinliche Rettung möglich.«
serapionsbruederauswahl_1121|der nicht aufhörte, ihn tapfer auszuschalten, daß er sich in solche Gefahr begeben.
achtgesichterambiwasse_2012|Die kniende Frau wollte wieder zu ihrem Sohn beten. Aber der Lärm des Regens, der vielen humpelnden Füße von Wallfahrern
meisterfloh_1512|was die Leute gedacht, als nach dem, was sie gesprochen, und so konnt' es nicht fehlen, daß, da Peregrinus in der Leute Gedanken
achtgesichterambiwasse_1473|die blau irisierend und rot irisierend mit weißer Innenschale und schwarzer Außenschale
meisterfloh_2678|wie er noch zu vorigen Weihnachten die Kinder beschenkt und Freude und Fröhlichkeit verbreitet, ihnen den Frieden, die Heiterkeit
meisterfloh_1690|ob jemand wohl verbrecherischere Gesinnungen an den Tag legen könne, als wenn er bedauere, heute keinen Mord verübt zu haben!
achtgesichterambiwasse_1547|und wenn die Mädchen von Katata dieses einem Liebhaber zeigten, so war er abgewiesen.
meisterfloh_0259|Wenn dann die Kinder in der hellsten, lebendigsten Freude, schlich er leise davon und lief oft die halbe Nacht über durch die Straßen,
achtgesichterambiwasse_0786|Dieses Samuraigesicht war sehr zerschlagen von Kriegswunden, und die Narben entstellten die Gesichtszüge. Und
achtgesichterambiwasse_2050|Im Abendrot wurde der Biwasee rotgoldig glitzernd
achtgesichterambiwasse_1357|bis die Wildgänse in den Oktoberabenden fortflögen. Und auch «Graswürzelein», wie die Tochter des Töpfers hieß, wußte,
meisterfloh_0678|Statt mir zu raten, statt mir beizustehen in meinem Unglück, tischt Ihr mir allerlei unziemliche Narrenspossen auf.« –
achtgesichterambiwasse_0166|Die Magd greift mit beiden Händen nach dem um sich schlagenden Papagei. Der Vogel schreit zum zweitenmal: «Ich töte dich!»
achtgesichterambiwasse_0326|mit milden, weißen, langen Lampionketten ihre Balkone. Lautlos und feierlich und ruhig beleuchtet,
achtgesichterambiwasse_2209|Auf der nassen Kaimauer vor der Reihe der Packträger und Verlader hatte ein Athlet einen braunen Teppichfetzen ausgebreitet.
achtgesichterambiwasse_0795|Eher findet man ein verlorengegangenes Ruder auf dem großen Biwasee, als einen verlorengegangenen Menschen in dieser großen Stadt.
serapionsbruederauswahl_1108|Jener verhängnisvolle Traum, den er in Göthaborg geträumt, kam zurück.
meisterfloh_1765|und vermöge der ich mir meine Feinde vom Halse schaffe und selbst im besten Wohlsein bleibe.
serapionsbruederauswahl_0276|alle mögliche Bücher über den Wahnsinn, die mir nur zur Hand kamen, ich glaubte, mir, dem fremden Psychologen, dem ärztlichen Laien,
serapionsbruederauswahl_0569|du sahst den versteckten Hebel nicht, die auf dein Inneres einwirkende Kraft; und wenn du mit grauenhaftem Scharfsinn behauptetest,
serapionsbruederauswahl_1194|stiller, ernster, in sich gekehrter gewesen als jemals,
serapionsbruederauswahl_0105|Viel zu schwerfällig bin ich geworden und sehr geneigt, darüber mich zu ärgern, was mich sonst zum Lachen reizte.«
meisterfloh_0061|als Herr Peregrinus Tyß außerdem, daß er wie gesagt, ein Mann von feinem Ansehen war, ein sehr beträchtliches Vermögen besaß,
meisterfloh_0680|Ich gehe, Dörtje Elverdink aufzusuchen. – Doch damit Ihr nicht mehr ehrliche Leute vexiert« – Pepusch faßte nach der Schraube,
meisterfloh_0925|wenn alles, was aus jener Welt herstammt, Euch vorkommen wird wie ein verwirrtes Märchen,
achtgesichterambiwasse_1014|Alles wird mir gelingen, wenn du mich liebst.» «Wirst du mir treu bleiben, wenn ich dich heirate,
meisterfloh_1476|Endlich gewann er
achtgesichterambiwasse_0963|Eine Frau wurde rot und trat vor und sagte: «Unsere Männer sind bei der Feldarbeit und wissen nicht, daß du kommst.
achtgesichterambiwasse_1097|der senkrecht ins Wasser schießt. Hört ein Freund auf diese Warnung nicht,
meisterfloh_1798|»Ihr wißt,« sprach er mit einem Ton, der dem Hoffnungslosesten Zutrauen einflößen mußte, »Ihr wißt ja noch gar nicht,
serapionsbruederauswahl_0122|So tritt der Staatsrat zusammen, um zu beschließen, ob und von welchen Weinen heute der kalte Punsch zu bereiten.
serapionsbruederauswahl_0768|zur frühsten Knabenzeit in seltsamen geheimnisvollen Ahnungen aufgegangen. – »Ich habe,« sprach endlich der Alte,
meisterfloh_2878|das sich ausspricht in mildem Vertrauen, in frommer Gutmütigkeit, wegzehren muß? Nein! dein freundliches Gesicht,
meisterfloh_1425|so fehle ich wenigstens unbewußt.
achtgesichterambiwasse_0522|«Wo sind wir in Japan?» «Auf dem Biwasee, Samurai», sagte das Mädchen.
achtgesichterambiwasse_0369|und die Amerikaner der japanischen Nation einen Ehrenbesuch machten.
achtgesichterambiwasse_1737|Darum entschlossen sich alle die Tausende von Frauen in Kioto, dem Tempel ein Opfer zu bringen und ihr Haar dicht am Kopf abschneiden zu lassen,
achtgesichterambiwasse_1426|Aber du liebst mich nicht, weil du fortsiehst. Ganz verstört, schwieg Oizo immer noch.
meisterfloh_2055|Gefangenen – ich sterbe!« – So stammelte die Kleine mit verlöschender Stimme.
achtgesichterambiwasse_2505|In Singapore aber war Ilse aus ihren indischen Träumen gerissen worden. Dort, wo die Chinesen wie der Sand am Meere sind,
serapionsbruederauswahl_0688|Denn Seemann habe er doch nun einmal, von Kindesbeinen an dazu bestimmt, bleiben müssen,
achtgesichterambiwasse_1309|Einer malte einen Saal, wo Sperlinge in Scharen über die Wände flogen und sich in Reisfeldern und Bambushainen auf Halmen und Rohren schaukelten.
achtgesichterambiwasse_1340|Aber da es Juli war und keine Wildgänse um diese Zeit vorüberziehen, mußten sie warten bis Oktober.
achtgesichterambiwasse_2295|«Die Götter haben euch Frauen keine Knochen gegeben, um im gewöhnlichen Leben so fest zu stehen wie der Mann.»
serapionsbruederauswahl_1305|Das seltsamste war aber, daß, sowie es abends acht Uhr geworden, das Fräulein erst von der Französin,
meisterfloh_0047|konnte das besser wissen als Peregrinus, der alles selbst mit unsäglicher Mühe und Sorgfalt eingekauft. –
serapionsbruederauswahl_1553|Der Fremde bemühte sich nun um Aureliens Gunst auf eine Weise,
serapionsbruederauswahl_0869|zwischen wunderlichem Gestein in häßlichen Verschlingungen hin und her wälzten,
meisterfloh_2550|hatte er sowohl als Leuwenhoek mit großer Freude die innige Zuneigung der schönen Dörtje Elverdink
achtgesichterambiwasse_1175|Russische Uniformen und abendländische Fäuste sah man im Gewühl einen Augenblick danach um Omiya toben.
meisterfloh_2549|und, wie es mir vorkommen will, von etwas Schönem und Erfreulichem!« – Sowie Swammerdamm nun weiter sprach,
serapionsbruederauswahl_1660|Der Arzt sah nun, daß er sehr unvorsichtig gehandelt, im Beisein der nervenschwachen Frau
meisterfloh_2636|und der Ton ihrer Stimme, ja selbst das Rauschen des wunderlichen Silberzindels schien ein fremdartiges Wesen zu verraten,
meisterfloh_0400|»Mag es nun werden, wie es will, ich kann nicht anders!« hob die Leblose auf, nahm sie in seine Arme und zog stark an der Glocke.
achtgesichterambiwasse_1105|Die Schulknaben konnten nicht schwimmen, aber nur wenigen fiel es ein, sich vor der schwindelnden Tiefe des Biwasees zu grauen, und
meisterfloh_0725|sowie es ihm war, als sei auch er damals ganz anders gestaltet gewesen. Vergebens quälte er sich ab,
achtgesichterambiwasse_1988|Schwarzbronzene Hirsche, von Künstlern als Statuen gegossen, ruhen auf Steinsockeln.
meisterfloh_0968|und er erhielt die Lobsprüche, die uns allein gebührten.
serapionsbruederauswahl_0078|daß wir nach geschehener Stimmensammlung wirklich als Mitglieder des Klubs aufgenommen worden,
meisterfloh_2419|Als nun Swammerdamm das mikroskopische Glas, das er in der Tat von Leuwenhoek erhalten, in die Pupille des linken Auges werfen wollte,
serapionsbruederauswahl_0186|wir wollen uns nicht daran stoßen, daß wir andere Röcke tragen und andere Hüte,
meisterfloh_3057|und gelbgestreifte Tulpe, die auch den Pflanzentod gestorben. – »O meine Ahnung,« rief Peregrinus,
achtgesichterambiwasse_1216|veranlaßte ich ihn, mich vom Ertrinken zu retten, indem ich sagte, der Verlust der Schulkinder sei mir größer als dein Verlust,
serapionsbruederauswahl_0327|als den kleinen, täglich von Bauern, Jägern, Reisenden und Spaziergängern durchstreiften Wald zwei Stunden von B***
meisterfloh_1333|er sei Geheimer Hofrat und nenne sich Knarrpanti. Darauf zog er ein Papier mit einem großen Siegel aus der Tasche
serapionsbruederauswahl_1597|sich auf der Straße ein großes Geräusch erhob. Das Kammermädchen sprang hinein und berichtete,
meisterfloh_0582|Der Genius Thetel wollte forteilen, da er noch vor Einbruch der Nacht in Samarkand viel zu tun hatte;
meisterfloh_2848|Der Buchbindermeister Lämmerhirt kehrte mit seiner Familie von einem Spaziergange zurück.
meisterfloh_3033|und wie aus weiter Ferne hallte jauchzender Jubel,
serapionsbruederauswahl_1054|der unaufhörlich Unglück prophezeite, sobald nicht wahre Liebe zum wunderbaren Gestein und Metall den Bergmann zur Arbeit antreibe,
meisterfloh_0409|die auf der Straße ohnmächtig geworden, die er nach Hause tragen müssen, und schrie dann, als Aline noch immer unbeweglich blieb, indem
serapionsbruederauswahl_0291|Ich sagte, daß ich, auf weitem Wege ermüdet, mich nur einige Augenblicke bei ihm auszuruhen wünsche.
meisterfloh_1628|und in der bangen Klage brustzerreißender Wehmut, die durch die Luft ertönte,
achtgesichterambiwasse_2602|Dieser Schriftsteller schrieb ein Drama;
achtgesichterambiwasse_1421|Zugleich kam ein Straßenverkäufer zu den beiden Malern und bot ihnen ein Spielzeug an:
serapionsbruederauswahl_1072|Du hast nämlich nicht vergessen, daß wir hier die eisengehaltige Ader im Gestein Trappgang nennen,
meisterfloh_0700|und so war dem Manne geholfen. Kein Mensch konnte sich übrigens in den Vornamen »Dörtje« finden,
serapionsbruederauswahl_0161|und ich kann darüber Rechenschaft geben. Fürs erste hat Theodor ganz recht, daß wir alle kindischerweise glaubten,
serapionsbruederauswahl_0259|wolle man ihn nicht aufs neue in Wut und Raserei stürzen, wolle man ihn ruhig und nach seiner Art glücklich sehen,
meisterfloh_1844|so zu seinen Gunsten übereinstimmend fand als bei ihr. Er glaubte sie nimmer mehr lassen zu können
meisterfloh_1766|Ich muß lachen, daß der Rat Wunder glaubt, wieviel mir an der wirklichen Ermittlung der Wahrheit gelegen ist,
serapionsbruederauswahl_1182|wie er die reichhaltigsten Adern, die herrlichsten Trappgänge entdeckt, und wenn sie dann nichts fanden als taubes Gestein,
achtgesichterambiwasse_0520|Achtmal wurde die Laterne draußen ausgelöscht und achtmal wieder angezündet,
meisterfloh_0299|Es konnte nicht fehlen, daß der Buchbinder ebenso bestürzt war als Herr Peregrinus, daß die Kinder von ihren Spielsachen abließen
meisterfloh_1607|Ich bin ja deine Aline, die dich lieben wird bis zum Wahnsinn, wenn du – doch,
meisterfloh_1948|Wissenschaft, Verstand, ja eine wunderbare magische Kraft. Und dieses Tier spricht von Dingen,
meisterfloh_2145|»Fürwahr, ein schöner Ballettmeister, der mit seinen Elefantenfüßen den zarten Tänzerinnen die Beine zerquetscht
achtgesichterambiwasse_1457|und du kannst den Booten ausweichen.» «Ich trenne mich nur schwer von meiner Malerei», sagte der Maler Oizo. «Aber du hast recht.
meisterfloh_2350|er zitterte und schwankte so sehr, daß er vom Stuhle gefallen, hätte ihn nicht Peregrinus beim Arm so fest gepackt,
meisterfloh_0336|wenn er des holden Wesens süßen Atem, die elektrische Wärme ihres Körpers fühlte – doch wollte sich dann in wunderbaren Schauern das
achtgesichterambiwasse_0919|Die Sonne ging unter. Ata-Mono schrie:
meisterfloh_0002|Buchbinder Lämmerhirt in der Kalbächer Gasse und Beginn des ersten Abenteuers. – Die beiden Alinen.
meisterfloh_0949|und mich ganz in Sicherheit zu setzen, als der Unhold, der verräterische Leuwenhoek (der war der Magier),
achtgesichterambiwasse_1017|Aber die Unsterblichkeit werde ich natürlich mit dir teilen.» -- -- Ata-Mono betrat die Stadt nicht.
achtgesichterambiwasse_0473|Kiri erwartete eine Schreckensgestalt, einen Seedrachen mit zackigen Flügeln,
achtgesichterambiwasse_1606|und ihre Augen rot wie Kaninchenaugen. Es war dem König geweissagt worden, daß er drei Nächte ein Weib lieben müßte,
achtgesichterambiwasse_1581|auf dünnen, nur fingerdicken seidenen Kissen an der Diele Platz genommen. Die Schiebefenster zum See sind weit offen.
serapionsbruederauswahl_0384|fühlte ich ebenso tief, als mich das dunkle Bewußtsein des frühern Lebens,
achtgesichterambiwasse_0788|Da war kaum ein fingerbreites Stückchen Fleisch an seinem Gesicht, das nicht durch eine Narbe zertrennt gewesen wäre.
achtgesichterambiwasse_2252|Sie ahnte, daß sie noch nicht den hundertsten Teil von dem Gehirn ihres Mannes kannte, und manchmal merkte sie, daß seine kleinen asiatischen Augen,
meisterfloh_2726|es drückt mir sonst das Herz ab, ich kann mir nicht helfen. – Wissen Sie wohl, daß   Röschen den Schnitt des Ariosto vergoldet hat?«
achtgesichterambiwasse_2401|und in dem spiegelfechtenden Meeresnachtleben auf ihren zwei Füßen zurecht, wenn sie,
achtgesichterambiwasse_1016|«Das ist das Natürlichste von der Welt. Das verspreche ich dir gar nicht.
achtgesichterambiwasse_0602|Dann sagte er ruhig, beherrscht zu dem Mädchen, mit einem Tonfall und einer Stimme, als wäre nichts geschehen:
meisterfloh_1162|und wie rasend ausrief: »Mag es gehen, wie es will – hinab, hinab, ans Schlüsselloch!« –
achtgesichterambiwasse_2484|Kutsuma betrachtete andächtig den weißen Kopf der alten Dame, so andächtig,
meisterfloh_1228|der die berühmten Mikroskope verfertigte?« »Daß unser Leuwenhoek,« erwiderte Herr Swammer lächelnd,
serapionsbruederauswahl_0216|die Hände gefaltet, gedankenvoll in die Ferne schaute. Die  ganze Erscheinung hatte etwas Fremdartiges, Seltsames,
achtgesichterambiwasse_0726|Kiri soll nur draußen auf dem See bleiben, bis die Soldaten fortgezogen sind. Der See kann ihn ernähren.»
achtgesichterambiwasse_1402|Der Maler ging nach Kioto und malte den Saal nach dem Gedankengang des Schriftzeichens auf silbergrauen Grund:
meisterfloh_0278|Als Peregrinus nun endlich die Gaben nach dem Alter jedes Kindes geschickt getrennt und geordnet, alle Lichter angezündet hatte,
meisterfloh_1945|Flammen in seiner Brust anzufachen, deren Marter er scheute, ohne sie zu kennen! Aber Ort, Zeit,
meisterfloh_1465|scheu und verlegen zu erscheinen,
serapionsbruederauswahl_1397|dann schlüpft sie verstohlen hinein und heraus – ißt ebenso heimlich u.s.w.
achtgesichterambiwasse_1259|«Ich sollte mich jetzt neben dich legen und für immer mit dir einschlafen, Kind. Der Biwasee war mein Hochzeitsbett.
meisterfloh_2700|wie diese Base vor wenigen Wochen gestorben, und wie sie dann zu den Eltern zurückgekehrt.
achtgesichterambiwasse_1756|Und er hatte sich keine Gedanken darüber gemacht, wie eine kahlköpfige Frau ohne Perücke aussehen kann.
meisterfloh_0163|das mußte Herr Tyß einsehen, war daher Peregrinus von Haus aus verdorben,
achtgesichterambiwasse_1276|«Nur warten, nur warten!» nickte die Frau den Sternbildern zu, die sie für Menschengesichter hielt.
serapionsbruederauswahl_0798|wurde er zur Riesengestalt, aus glühendem Erz gegossen. Elis wollte sich entsetzen,
meisterfloh_2648|der erst gezähmt werden muß!« – Peregrinus war froh, als er sich auf der Straße befand;
serapionsbruederauswahl_1170|und glaubte an sein Glück, das wohl keine böse Macht mehr verstören könne.
meisterfloh_0253|Aline, bringe Sie den Korb!« – Aline brachte alsbald einen großen weißen Henkelkorb herbei,
serapionsbruederauswahl_0915|Hoch und schlank gewachsen, die dunklen Haare in vielen Zöpfen über der Scheitel aufgeflochten,
meisterfloh_0870|Gleich unter diesen Armen befand sich ein Paar Füße und denn weiterhin noch ein Paar,
meisterfloh_0483|in tolles Schreien und Toben. Sowie nun Pepusch eintreten wollte, sprang die Türe des Saals auf mit Ungestüm,
serapionsbruederauswahl_1245|ja selbst die Blumen an der Brust. Alles Volk aus der Nähe sammelte sich um den Jüngling,
serapionsbruederauswahl_0636|ein schlanker hübscher Mensch, kaum mocht' er zwanzig Jahr alt sein, hatte sich fortgeschlichen aus dem Getümmel
achtgesichterambiwasse_2456|so seht ihr die Linien eurer Liebesleidenschaft.
serapionsbruederauswahl_1026|»was tust du hier in dem Schacht meines Herrn Pehrson Dahlsjö, in dem ich arbeite mit aller Kraft und wie es meines Berufs ist?
serapionsbruederauswahl_0210|einem Orte, der bekanntlich in der unmutigsten Gegend des südlichen Teutschlands gelegen, aufhielt.
meisterfloh_1180|mit der überirdischen Schönheit der kleinen Dörtje Elverdink für eine Bewandtnis hat.   Herausgeber kann versichern, daß,
meisterfloh_0439|»Wer,« schrie Peregrin ganz außer sich, »wer ist der Er? – Zum erstenmal in meinem Leben sehe ich Sie, mein Fräulein,
achtgesichterambiwasse_2413|Mit der Weite des Indischen Ozeans kam auch wieder die Weite der Gedanken über Ilse und Okuro.
meisterfloh_1208|zusammengeschrumpfter menschenscheuer, mürrischer Mann, schien plötzlich um zwanzig Jahre jünger geworden zu sein.
achtgesichterambiwasse_1462|und er sah nichts und hörte nichts im Nebel als das Knirschen seines Bootes. Eines Tages ließ er sein Boot treiben und sagte zu sich:
achtgesichterambiwasse_2384|von Zeit und Vergänglichkeit, von Gegenwart und Zukunft.
serapionsbruederauswahl_1610|erfuhr Aurelie, daß man in der Residenz die Frau Baronesse gar sehr bedaure, von einem solchen niederträchtigen Verbrecher
meisterfloh_2074|und es war seltsam, daß er sich dabei ringelte wie ein glatter Wurm. Der andere, hochfrisiert, im
meisterfloh_0541|und habt es doch noch niemanden verraten, selbst wenn Ihr auf mich zürntet wegen der Dörtje Elverdink. –
meisterfloh_1281|als zwei Abgeordnete des hohen Rats eintraten und ihm ankündigten,
achtgesichterambiwasse_2199|zurück auf das buckelige Meer, in die staublose, unirdische Seeluft, in der ihnen die Sonne noch treu bleibt,
meisterfloh_0475|denen an derlei possierlichen Künsteleien eben nicht viel gelegen, um ein Werk zu bewundern,
achtgesichterambiwasse_0256|und rief jetzt von draußen ins Haus nach Hanake. Dann drängten die Gesichter ihrer Freunde und Freundinnen in das Nebenzimmer,
meisterfloh_2947|denn nicht geboren wurde das menschliche Gemüt, das den Karfunkel hegen und pflegen müßte,
achtgesichterambiwasse_1552|Daß Graswürzelein ihn liebte und ihn nur necken wollte, als sie ihm die Absage gab und ihn vielleicht zur Annäherung reizen wollte, begriff Oizo sofort,
serapionsbruederauswahl_1643|Vergebens mühte sich der Graf, die Ursache von dem Zustande der Gattin zu erforschen,
serapionsbruederauswahl_1081|»Nun, Elis Fröbom, wirst du bald deine Liebe zu mir, deine Treue beweisen können, denn,
meisterfloh_1577|auseinanderzubringen und so einen Auftritt zu endigen, der ebenso lächerlich als entsetzlich war. Endlich gewahrten
achtgesichterambiwasse_1888|so sehr stank die Luft nach Alkohol.
achtgesichterambiwasse_2203|Am Kai standen Verkäufer von Bergen von hölzernen Segeltuchstühlen,
meisterfloh_2250|in Augenschein zu nehmen. Während nun Leuwenhoek die großen Schränke öffnete,
serapionsbruederauswahl_0677|»Ach, läg' ich doch nur begraben in dem tiefsten Meeresgrunde! –
meisterfloh_1814|aufgezeichnet haben. Vielleicht findet der Herausgeber des seltsamen Märchens, Meister Floh geheißen, künftig Gelegenheit,
meisterfloh_2355|ließ er den Flohbändiger los, trat dem Freunde entgegen und fragte ängstlich,
meisterfloh_0526|Der Flohbändiger versicherte aber dagegen, daß ganz andere Dinge in jenen Künsteleien lägen, und daß er sie nicht aufgeben könne,
meisterfloh_2625|dir warf ich keine Gabe hin, dir brachte ich kein Opfer, als ich der Schönsten, vielleicht dem höchsten Glück meines Lebens entsagte. Andere,
achtgesichterambiwasse_1387|das Schriftzeichen ihr mehr wert ist, als der Flug der Wildgänse», lachte Graswürzelein.
serapionsbruederauswahl_0725|»Ich höre Euch,« sprach der Alte, als Elis schwieg, »ich höre Euch mit Vergnügen reden, junger Mensch,
meisterfloh_2761|nachdem solcher theoretisch genugsam abgehandelt, praktisch darzutun durch Peregrinus' Beispiel.
meisterfloh_0698|und weil in dieser Welt nur die Extreme gelten, so weckte des Flohbändigers Nichte ein nie gesehenes Wunder. –
meisterfloh_1156|Habe ich sonst außer dem Kronentaler zu Weihnachten auch nur einen einzigen Kreuzer von ihm erhalten?
meisterfloh_2098|Davon schenkte der Lehrbursche ein Gläschen voll; das setzte das Schneiderlein stracks an den Mund und schlürfte die Luft begierig hinunter
achtgesichterambiwasse_1330|nur einen Zug Wildgänse, die durch die Luft flögen, graue und weiße Wildgänse, im Zickzackflug, rund um den Saal.
meisterfloh_1157|Und diesen schönen blanken Karolin, den gab er mir heute morgen mit solcher freundlicher Miene,
achtgesichterambiwasse_0088|der ihr auf die Schulter kletterte und ihr ins Ohr krächzte: «Ich liebe dich!» und dazu schnarrend lachte.
meisterfloh_2163|dem Hausflur ein unziemlicher Lärm; der Wirt nahm sich kaum Zeit, die wunde Nase sattsam mit   zu mappieren,
meisterfloh_2099|als ein angenehmes Labsal. Wurde ihm aber alsbald gar possierlich zumute, war ihm, als hätte er ein Paar
achtgesichterambiwasse_1150|Denn niemand in ganz Ozu wollte mit dem verrufenen Klopfen im Ohr einschlafen.
meisterfloh_1624|die andern von leichter zu erfassender Gattung. Peregrinus gewahrte bunt durcheinander Blumen,
serapionsbruederauswahl_1670|da es ein unergründliches Geheimnis, wie sie ihr Leben zu fristen vermochte, so meinte der Arzt,
achtgesichterambiwasse_0297|streckte sich auf der Diele aus und schlief fest ein. Am nächsten Abend erschien ein Segel auf der Seehöhe.
meisterfloh_2791|man sagt, daß ein gewisses gutmütiges Betragen, eine gewisse Offenheit, von manchem Einfalt genannt,
serapionsbruederauswahl_0314|und ich gestehe ein, daß es manchem,  der nicht weiter zu schauen vermag, als eben seine Nase reicht, sehr wunderbar klingen muß,
meisterfloh_1058|und dieses Auge wird dann mikroskopisch. – Die Wirkung soll Euch überraschen, ich will daher für jetzt darüber schweigen
serapionsbruederauswahl_1675|und Zeuge einer unergründlichen Krankheit zu sein, ohne Macht zu helfen.
achtgesichterambiwasse_1686|Ich will bei dir bleiben und mit dir gehen, wohin du gehst.» Die Königin stand auf,
serapionsbruederauswahl_1089|Damit ging Pehrson wieder in das Gemach zurück.
serapionsbruederauswahl_0471|was sagst du?« rief Cyprian, ganz erstaunt. »Ja,« fuhr Ottmar fort,
meisterfloh_2521|und wissenschaftlicher zu sprechen, das herrlichste Tsilmenaja oder Tilsemoht, das jemals, getränkt von dem
achtgesichterambiwasse_0186|sagten, man erzählte sich in allen Teehäusern, daß der Freund eines kaiserlichen Prinzen von einem Europäer auf dem See erschossen worden sei.
meisterfloh_1773|durch gar geschickte Antworten Knarrpantis Scharfsinn zuschanden machte. Der Abgeordnete des Rats schien seine Freude daran zu haben.
serapionsbruederauswahl_0120|So gerät alles in Bestürzung, weil ein Ragout mißraten, –
meisterfloh_1508|der verwirrte Einfaltspinsel würde in kurzer Zeit seinen ganzen Reichtum verspekulieren, und das wäre dann ein Gaudium.
meisterfloh_1889|und ich glaube gar, auch in Indien gewesen und konnte französisch beten und singen.
serapionsbruederauswahl_0369|Beweisen Sie mir das!‹ Hier glaubte ich meinen Mann fassen zu können.
meisterfloh_0379|und nicht daran gedacht, daß die Dame so leicht gekleidet und nicht einmal einen Shawl oder ein Tuch umgeworfen hatte,
achtgesichterambiwasse_0682|Und wie er ruderte, schien es ihm, als würde der See in der Tiefe hell. «Sieh jetzt um, über deine Schulter in dein Netz;
meisterfloh_2618|daß George Pepusch jede Gabe verschmäht, die der barmherzige Freund ihm gleich dem armen Sünder hinwirft wie ein Almosen! –
serapionsbruederauswahl_0770|zu dem Euch die Natur recht eigentlich bestimmte. Geht nur mit Euch selbst zu Rate und tut dann,
achtgesichterambiwasse_0039|Nach der kurzen Windstille, die knappe Sekunden dauerte,
achtgesichterambiwasse_1123|mit den äußersten Spitzen der Kirschbäume, mit den glitzernden Grashalmen der grünspanfarbigen Wiesen, legte sich plötzlich,
meisterfloh_0525|da die Erfindung des Nachtmikroskops sowie überhaupt seine Geschicklichkeit im Verfertigen Mikroskopischer Gläser ihn längstens festgestellt.
serapionsbruederauswahl_1614|nicht, als diese ihn nannte und den gebrandmarkten Rücken angab als gewisses Kennzeichen des Verbrechers,
achtgesichterambiwasse_2459|Wir müssen unsere Freuden belauschen und unsere Schmerzen. So wie unsere Anatomen den Blutkreislauf fanden,
serapionsbruederauswahl_0439|Ich verstand den Wink und nahm Abschied, indem ich fragte, ob es mir wohl vergönnt sei, wieder einzukehren.
meisterfloh_0625|einen kleinen schwarzen Punkt erscheinen und ebenso schnell wieder verschwinden sahen. Die Stockung des Bluts hörte sogleich auf,
meisterfloh_1703|Ich liebe diese Entführungen, weil sie der Intrige ein besonderes Leben einhauchen.« Ferner:
meisterfloh_1746|gehorsame Meister Floh das mikroskopische Glas in die Pupille. Knarrpantis Gedanken lauteten ungefähr:
meisterfloh_1044|und würde Euch die Hand darauf reichen, hättet Ihr eine dergleichen, die meine zu erfassen und meinen ehrlichen Druck zu erwidern.« –
achtgesichterambiwasse_1240|Ist der Reis wieder übergekocht, weil es so laut wird? Da kamen Hände zu ihr, die ihre Hände streichelten.
achtgesichterambiwasse_0789|Ich habe meinen Sohn nicht erkannt.» «Du hast deinen Sohn niemals erkannt, 'Wolke vor dem Mond',
serapionsbruederauswahl_0093|so blieb alles Mühen vergebens, die Bestie in den Klub einzuführen,
